series,observations,p50,p75,p90,p95,p99
Broad market (SPY),2409,-0.3272494036951004,0.394842438950775,1.288469956064993,2.059778182466084,4.885505186234528
Cross-asset composite,2409,-0.2938067777182935,0.3421753504511464,1.2120606770649,1.8576788194403728,4.483926577544459
Financials,2409,-0.2244117478039912,0.4626439204865293,1.2317254600734857,1.784082581025022,3.46906453703494
Technology,2409,-0.2254799774606188,0.4514853233336698,1.5224290927184934,2.1365755014087573,4.041494724131739
Energy and Transport Inputs,2409,-0.2446736111857069,0.358413040947015,1.1420699723542305,1.899260197559508,4.03421107612297
Defensive Consumer,2409,-0.1743502479069117,0.4222139740635496,1.1167556286552576,1.7042245871821615,3.7881605510955145
